messages,message_id,user_id,tag,date,latitude,longitude
Sony xpriya e4 dual pattern unlocked kaise hoga,7496,102,buy,2019-02-09,27.2671913,81.4937993
"Oppo A5s meta mode mejata hai volum ko 
chhorne ke baad meta mode failed aata hai",8379,102,buy,2020-01-18,27.2671913,81.4937993
Need bga 254 emmc pinout,7170,225,sell,2019-11-03,26.3164705,85.5920787
"Vivo y17 pro pattern unllock
Realme 1 pattern unllock karna",1767,184,sell,2018-12-14,28.7505846,77.1419808
"Sold To Apple Diract Source*Submetion On🔛💪

Removed Icloud Sold apple All Support 95%✅

Removed I cloud South Africa All sold Support 1-3days 99%Done✅✅

Removed Icloud Sold Uk All Support 99%Fst Service 12h 24h Done✅✅

Removed I cloud Sold Arabia All Support✅

Removed Icloud  Sold Africa All Support✅

Removed I cloud Sold France All Support✅

Removed I cloud Sold To other germany Europ 99% Sold Support✅

We Are Admin Removed I cloud Srnd Odar only Bulk Good price Good time 24h 72H Max 5Day To 7day✅✅

🤝Clean fresh Imei Also Support Now  Highi Sucssce95% 99% Done🤝

Looking For Good Resellers And Clients Only)",3641,184,buy,2020-03-27,28.7505846,77.1419808
"Easy Jtag Plus With Moorc 13in1 Adapter

UFI Box Indian Version

Limited Stock 

Make Order Fast",7738,102,sell,2018-05-30,27.2671913,81.4937993
EME tool kitne ka hai sir,9063,184,buy,2019-04-09,28.7505846,77.1419808
"Realme XT C.04 version launch by only our forum
http://fonesforum.com/realme-firmwares/973-realme-xt-rmx1921ex-latest-firmware-download-first-on-fonesforum",1642,192,buy,2020-03-25,26.1391185,85.7717907
"EME Tool Full Tutorial🔥
https://www.youtube.com/watch?v=cGcvXCZh7vg",5689,36,buy,2018-12-14,26.8679311,82.4861053
Y93 working in all versions universal,3293,192,buy,2020-04-15,26.1391185,85.7717907
"[: Combo
A3s.
Y91
Y93
Note 4
Mi 4x
Mi. 4a
Mi. 5a
Y2
Y1
Y1.lite
J210
J7nxt
Note 7 
Note 7 pro
Note. 5 pro
Note 5
Y81
Realme c2
Realme c1
Realme 2
Vivo v9
Vivo. Y53
Vivo. Y12
Vivo. Y15
J6
J4plus
Vivo v11
Y69
Y66
Y71
Lava z61 
Lava. 60s
V5
V7
Ye order tha",4420,102,sell,2020-06-30,27.2671913,81.4937993
redmi 6pro  folder pirce,8454,36,sell,2019-08-28,26.8679311,82.4861053
Redmi go mother board,2084,36,buy,2020-05-20,26.8679311,82.4861053
I want note 6pro motherboard,4824,225,sell,2018-07-09,26.3164705,85.5920787
" Motherboard's
Redmi Note 4 ₹2000 _3,32gb
Redmi Note 7s 3000_4,64gb
Redmi Note 7pro 3000_4,64g
Redmi Note 7pro 4000_6,64g
Redmi    Y2 2400_4,64gb
Redmi Foco F1 3800_4,64
Redmi Foco F1 4300 _6,128
Redmi A3 4300_6,128gb

New Motherboard only",2304,184,buy,2020-06-18,28.7505846,77.1419808
Techno spark 4 combo hai kisi ke paas?,151,184,sell,2018-10-15,28.7505846,77.1419808
"Bhai mujhe twizzer set chahiye accha wala Or magnifying
 glass with stand Or mat chahiye emmc ka kaam karne jo 
heat na ho or emmc usme baith jaye",1287,184,buy,2020-07-20,28.7505846,77.1419808
Oppo a33 ₹600 combo,76,102,buy,2018-11-20,27.2671913,81.4937993
Bst dongle hai kisi ke paas,4678,36,sell,2019-03-24,26.8679311,82.4861053
Umt credits,9995,192,buy,2020-02-02,26.1391185,85.7717907
Sm j701f touch file requirements,3383,192,sell,2018-08-21,26.1391185,85.7717907
"Goods available 

Note7-1250
Y12/15-1450
F9pro-1450
J5prime-950
J4ogs-950
J6ogs 950
J720-900
A83-1000
A1k-1200
A5s-1400
Note3-850
Y66-800
Moto one-1150
Miy3-1100
Note5-1200
Note5pro-1200
Y55-800
J7p-1150
J260-1050
Y53-850
V9-1200₹
A6+ 2oled-2300₹
A8+ 2oled-2300₹
A30-2100₹
A50oled wf-3600₹
Zplay oled-2100₹
A750 2oled-2100₹
A920 oled-2100₹
J730 oled-2100₹
A8 oled-2200₹
A710 oled-1950₹
M30-1750₹
J6 oled-1300₹
Iphone x gx-4900
M20-1350₹
J4+-1300₹
Realme2pro-1550₹
A10s-1150₹
X626-1200₹
Id5a-1200₹",973,192,buy,2020-07-16,26.1391185,85.7717907
Jio battery 💯 original,1189,36,buy,2018-08-21,26.8679311,82.4861053
UFI Indian version price?,1526,184,sell,2018-11-25,28.7505846,77.1419808
"J2.... 700
J2..16.....680
J250......720
J260......850
J7........900
Oppo a3s.....1500
Realms c2.....1200
Note 6 pro.....1400
Note 7 pro....1350
Redmi 6 pro......900
Y91 .....5 price.... 1600 care og
Y12..... 1500 og
Y83....... 1400...universal",6683,36,sell,2018-11-20,26.8679311,82.4861053
"Folder
Touch
Charging flex
Main flex
Charging jack
On/Off flex
Sim outer
Lcd oca
Lcd film
Back panal
Lcd frame /crome/middle/haddi
Glue cleaner
Acton 
Falcon 530
Iron
Paste
Solder
Speaker 
Mic 
Battery connector


Redmi note 7
Redmi note 7s
Redmi note 7pro
Redmi  8A
Redmi 8
Redmi note 8
Redmi note 8pro
Mi A2
mi 7a

Oppo a3s
Oppo A5
oppo A7
Realme 3
realme c1
realme c2
realme 2pro
realme 3
oppo A1k
oppo A5s
oppo F11
F11pro
Oppo A9
realme 5
Oppo A9.. 2020
oppo A5.. 2020

Vivo Y31
vivo V15

vivo Y81
vivo Y83
vivo Y83 pro
vivo v9 youth
vivo Y15
vivo Y17
Vivo U10
V11pro
Z1pro



vivo Y91
vivo y93
vivo y95

note 6pro
mi note 5pro
mi note 5

oppo a3s
Oppo a5
oppo A1k
oppo A5s

Techno in3
Tecno in5
Tecno I4
tecno Id5a
tecno in6
tecno KB2
tecno KB3
tecno camon i4
tecno camon cb7


vivo Y93
vivo y95
vivo V15

oppo K1
oppo K3
oppo a3s
Oppo a5
oppo A1k
oppo A5s

oneplus 2 og
one plus 3
One plus 3 t
one plus 5
One plus 5t
oneplus 6

Vivo v9 small noch
Vivo Y90
vivo Y91
vivo y93
vivo y95
vivo Y91i

Vivo V11

Vivo Y12
vivo Y15
vivo Y17
vivo U10


Y83
Y83pro
Vivo Z1pro
Vivo Y81

oppp A3s
Oppo A5
oppo A7
Realme 3
realme c1
realme c2
realme 2pro
In 1
in 2
in 3
in5
in6
Cb7
I4
tecno Id5a
tecno camon sky
Techno kb2
tecno camon i4
tecno camon id5b
tecno i3pro
tecno in5

A30
A50
A70
A7.. 2018 insell
A7.. 2018 oled
A6plus
A8 insell
A8 oled
j7prime og...
j7 max ogs
J7 max glass vala
J7 max og

Realme X
Reno Z
Reno Z2
Oppo K3
oppo k1

iphone x
iphone xr
I phone 8
Iphone 8plus
Iphone 7
Iphone 7plus

Zenfone m1
Zenfone max M1
Zenfone max M2
Zenfone max M2 pro

nokia 1
nokia 2
nokia 3
nokia 5
nokia 6
nokia 3.2
nokia 4.2
nokia 2.2
nokia 7.1
nokia 8
nokia 8.1... care og
nokia 5.1plus.. care og
nokia 6.1plus.. care og
vivo V15
vivo y95
vivo Y91i
vivo Z1pro
vivo Y19

Realme 3
realme 3pro
oppo A3s
Oppo a5s
oppo A7
Realme X
Reno Z
Reno Z2
Oppo K3
Oppo A5... 2020
oppo A9... 2020

 samsung A10s
Samsung S3
samsung a30
samsung M30
samsung M40
Samsung A10
samsung M20
Samsung M60

mi poco F1
mi Note 6 pro
mi 6pro
mi note 5pro
mi note 5
mi note 8pro
Mi A2
[5/13, 20:10] Omi Spare Parts: New Folder stock a gya
😍😍😍😍😍😍😍

IPhone X
IPhone XR
IPhone 8+
Iphone 7+
Iphone 6+

OnePlus 3T
OnePlus 5
Oneplus 5t
Oneplus 6

V11pro
V15pro

Vivo v15
Vivo v5plus
Oppo F1plus

Realme 3
Realme 3pro
Realme 5
Realme 5pro

Techno in3
Techno in5
Techno id5a
Techno cb7
Techno i4


Samsung A20
Samsung A30
Samsung A50
Samsung a7.. 2018

Honor 8x
Honor 8c

moto one power
Moto E5plus

Vivo U10
Oppo F11
Vivo V9 small notch
Oppo F7 small notch

Mi note 8
Mi note 8pro
Mi A2 og

ye sb a gya hai.....",1878,192,buy,2020-04-17,26.1391185,85.7717907
"Mrt 
Umt 
Miracle 
Sharing 
Low price",8391,225,buy,2020-06-08,26.3164705,85.5920787
"Umt Renew
Miracle renew
Cm2 Renew
Eft renew
EME ACTIVATION
UAT ACTIVATION / RENEW

ALL ACTIVATION HAVE BEST PRICE ONES 
CHECK WEBSITE BEFORE ACTIVATION",4559,225,buy,2020-05-02,26.3164705,85.5920787
SM B310E flash file need,3658,225,sell,2020-07-13,26.3164705,85.5920787
"Mi 6a combo 1
Samsung a10 combo 1
Realme 5i combo 1 
Gionee f9 combo 1
Oppo a1k combo 1
Techno i3 pro combo 1",6175,184,buy,2018-11-15,28.7505846,77.1419808
J7nxt pcb available hai,4012,192,sell,2018-07-07,26.1391185,85.7717907
Samsung Note 8 combo,6540,192,sell,2019-11-03,26.1391185,85.7717907
BUY wuxinji VIP best Diagram Tool & Get 3 Month Validity,384,102,buy,2020-07-13,27.2671913,81.4937993
Umt pro lena. Koi sell karta hai kya,9815,225,buy,2020-06-24,26.3164705,85.5920787
@4900 with 10 Credit,2882,36,buy,2019-11-02,26.8679311,82.4861053
Redmi 4a motherboard milega??,2892,102,sell,2020-04-05,27.2671913,81.4937993
ic milege kise ke pass PM660L004 DP8200,2197,184,buy,2019-09-24,28.7505846,77.1419808
Samsung j2 foldar price,4051,102,sell,2019-11-02,27.2671913,81.4937993
"Combos display chahiye
Whole sale price",6368,102,sell,2019-12-20,27.2671913,81.4937993
V 11pro combo chahiye kya,1173,225,sell,2020-04-05,26.3164705,85.5920787
mi and samsung folder and combo,8858,36,sell,2018-11-19,26.8679311,82.4861053
Jio lcd milega,8525,225,sell,2019-04-09,26.3164705,85.5920787
"V11pro
Y83
A3s
V7+ 
J7 max
A30.  Ye combo milenge kya",3252,184,sell,2018-09-13,28.7505846,77.1419808
J7 nxt motherboard urgent,1391,184,sell,2018-06-07,28.7505846,77.1419808
"BOX, DONGLE, INSTANT ACTIVATION AVAILABLE✔

UFI BOX INDIAN
HYPO BOX
easy jtag
IP BOX IPHONE
MOORC 13 IN1  ADOPTER
AE TOOL OPPO
F FINDER DIAGRAM DONGLE
ZXW DIAGRAM ONLINE
WUN ZIN JI DIAGRAM DONGLE
HYDRA DONGLE
MIRACLE BOX+KEY
MIRACLE THUNDER
MIRACLE FRP
EFT
EFT + FTP DONGLE
SFT DONGLE
EMMC HUAWEI DONGLE
UMT
UMT PRO
NCK PRO
MRT DONGLE
NOKIA BEST
CM2 INFINITY
OCTOPLUS SAMSUNG
OCTOPLUS FRP
Z3X SAMSUNG
UFI DONGLE

USB HUB 10 PORT
O2 SIM
STENCILS🔥
IPHONE I POWER
MULTI BOOT CABLE
M600 FLASHING CABLE
V8 ORIGINAL CABLE
A TO B CABLE
UART CABLE
EDL MIRACLE CABLE
        Z3X CABLE SET 25 IN 1

MANY MORE GOODS🥇
available👍

All activation available instant best price🤝

ALL FIRMWARE SITE ACTIVATION AVAILABLE IN SECONDS👈",4371,102,sell,2019-05-07,27.2671913,81.4937993
" SUNSHINE SHORT KILLER *
* MODEL - P 30 *
* 10 Second to remove shorting *
* SAVE TIME MAKE MONEY *",8833,225,buy,2020-06-24,26.3164705,85.5920787
"𝐈𝐂𝐋𝐎𝐔𝐃 𝐔𝐍𝐋𝐎𝐂𝐊 
𝐂𝐥𝐞𝐚𝐧 𝐦𝐨𝐝𝐞 𝟔-𝟏𝟐 𝐡𝐨𝐮𝐫𝐬 
𝐋𝐨𝐬𝐭 𝐦𝐨𝐝𝐞 𝟏𝟐-𝟐𝟒 𝐡𝐨𝐮𝐫𝐬
𝐀𝐥𝐥 𝐢𝐏𝐡𝐨𝐧𝐞𝐬 𝐚𝐜𝐜𝐞𝐩𝐭𝐞𝐝, 𝐚𝐥𝐥 𝐢𝐏𝐚𝐝 𝐚𝐜𝐜𝐞𝐩𝐭𝐞𝐝.",6453,225,buy,2018-11-13,26.3164705,85.5920787
"✅iCloud Passcode/Disable = OFF Service Remote ON

✅DM FOR INSTANT SERVICE.

# NEW TOOLS

✅# iC REMOVE FROM PASSCODE DISABLE DEVICE - IPHONE 7+/7/6S+/6S/6+/6

✅# iC REMOVE FROM PASSCODE DISABLE DEVICE - IPHONE 8/8+ 

✅# IC REMOVE FROM PASSCODE DISABLE DEVICE - IPHONE X 
",1916,192,buy,2019-08-29,26.1391185,85.7717907
"mi on 

samsung on 

Realme on

low price",383,225,sell,2019-03-27,26.3164705,85.5920787
Redmi 6a mi account,1431,184,buy,2019-03-22,28.7505846,77.1419808
What is the price of clout x417 amaze  stok rom,2107,36,sell,2020-04-15,26.8679311,82.4861053
Jivi xtreme 7 file password,3947,192,buy,2018-08-08,26.1391185,85.7717907
Vivo V11 mtk flash tool need,3885,36,buy,2019-05-07,26.8679311,82.4861053
Oppo 1923 unlock kese hoga umt se,8627,192,sell,2020-07-13,26.1391185,85.7717907
REDMI 7A lock accout,9720,102,sell,2020-01-26,27.2671913,81.4937993
Vivo u10 mrt se unlock,8337,36,buy,2018-10-15,26.8679311,82.4861053
Koi online OPPO A5 1809 pin unlock karta,9968,225,buy,2020-02-02,26.3164705,85.5920787
Realme 3 Pro rmx 1851 unlocking koi karega,9291,36,sell,2018-11-19,26.8679311,82.4861053
Vivo v7 pattern unlock,4807,192,sell,2019-01-05,26.1391185,85.7717907
Samsung j600f u7 combination file link,9372,102,buy,2020-04-18,27.2671913,81.4937993
realme C2 1941 pin unlock solution,7482,36,sell,2018-12-14,26.8679311,82.4861053
Lumia 635 network unlock any one have solution,9645,184,sell,2019-03-22,28.7505846,77.1419808
A3s ho jayega kya,2195,184,sell,2018-07-07,28.7505846,77.1419808
Mi note 6 Pro flash file 8.0,6177,102,buy,2018-08-12,27.2671913,81.4937993
Moto xt1677 frp,590,102,buy,2019-09-02,27.2671913,81.4937993
Vivo y15 charging temperature too high any solution,7643,36,buy,2020-06-08,26.8679311,82.4861053
Samsung a10 frp koi karega,301,225,buy,2018-11-19,26.3164705,85.5920787
Cool pad 1825 cool 3. spd cpu tested flash file,4563,225,buy,2019-03-09,26.3164705,85.5920787
"COMBO OFFER


MOBILE SEA TOOL WITH ZSISP ADAPTOR

ONLY 3999/RS


SHIPING EXTRA",2565,184,sell,2020-03-27,28.7505846,77.1419808
"*MI ON* 

 *RELME ON* 

 *NOKIA ON* 

 *SAMSUNG ON* 

 *HONER FRP = FLASHING ON* 

 ",6095,225,sell,2020-04-17,26.3164705,85.5920787
"I need a all in one
 Oca machine seconds also ok",5226,36,sell,2020-02-02,26.8679311,82.4861053
Mi 6 pro tested mi account remove file pls,9674,184,buy,2018-06-30,28.7505846,77.1419808
there is miracle thunder software that can work without box,9177,225,sell,2019-04-20,26.3164705,85.5920787
Tambo ta-3 flash file ki password chahiye,2620,225,buy,2018-11-15,26.3164705,85.5920787
i phone xs 256gb face id off ❌ box charger 34000/-,3337,192,sell,2020-07-17,26.1391185,85.7717907
Smasung A70 pattern unlock with out data loss,8884,36,buy,2018-12-25,26.8679311,82.4861053
lenovo k50 battery hobe,4424,225,sell,2018-09-26,26.3164705,85.5920787
10000 mah power bank,9117,36,buy,2018-07-07,26.8679311,82.4861053
Gionee M7 Power water damage dark blue lcd ,5102,225,buy,2019-09-11,26.3164705,85.5920787
samsung j7 prime battery temprature to low,5645,225,buy,2020-04-17,26.3164705,85.5920787
HoNor 8x JSN_42 10.0 FRP DONE,7775,36,sell,2018-10-16,26.8679311,82.4861053
